time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J,segment_id
0.1,0.025,0.0025000000000000005,0.0025000000000000005,0.25,18.78922828652344,1.878922828652344,1.878922828652344,1
0.2,0.07500000000000001,0.0075000000000000015,0.010000000000000002,0.5,82.93776061113282,8.293776061113283,10.172698889765627,1
0.30000000000000004,0.15000000000000002,0.015000000000000003,0.025000000000000005,0.75,219.01711613906255,21.901711613906258,32.074410503671885,1
0.4,0.25,0.025,0.05,1.0,453.60253652343755,45.36025365234376,77.43466415601564,1
0.5,0.35,0.034999999999999996,0.08499999999999999,1.0,635.0605682203125,63.50605682203125,140.9407209780469,1
0.6,0.44999999999999996,0.045,0.13,1.0,816.5356170046875,81.65356170046876,222.59428267851564,1
0.7,0.5499999999999999,0.05499999999999999,0.185,1.0,998.0325449015625,99.80325449015625,322.3975371686719,1
0.7999999999999999,0.6499999999999999,0.06499999999999999,0.25,1.0,1179.5562139359376,117.95562139359377,440.35315856226566,1
0.8999999999999999,0.7499999999999999,0.075,0.325,1.0,1361.1114861328124,136.11114861328124,576.4643071755469,1
0.9999999999999999,0.8499999999999999,0.08499999999999999,0.41000000000000003,1.0,1542.7032235171876,154.27032235171876,730.7346295272656,1
1.0999999999999999,0.9499999999999998,0.09499999999999999,0.505,1.0,1724.3362881140622,172.43362881140624,903.1682583386719,1
1.2,1.0499999999999998,0.10499999999999998,0.61,1.0,1906.0155419484374,190.60155419484374,1093.7698125335155,1
1.3,1.15,0.11499999999999999,0.725,1.0,2087.7458470453125,208.77458470453126,1302.5443972380467,1
1.4000000000000001,1.25,0.125,0.85,1.0,2269.5320654296875,226.95320654296876,1529.4976037810154,1
1.5000000000000002,1.35,0.135,0.985,1.0,2451.3790591265633,245.13790591265635,1774.6355096936718,1
1.6000000000000003,1.4500000000000002,0.14500000000000002,1.13,1.0,2633.291690160938,263.3291690160938,2037.9646787097656,1
1.7000000000000004,1.5500000000000003,0.15500000000000003,1.285,1.0,2815.274820557813,281.5274820557813,2319.492160765547,1
1.8000000000000005,1.6500000000000004,0.16500000000000004,1.45,1.0,2997.3333123421885,299.73333123421884,2619.225491999766,1
1.9000000000000006,1.7500000000000004,0.17500000000000004,1.625,1.0,3179.4720275390637,317.94720275390637,2937.172694753672,1
2.0000000000000004,1.8500000000000005,0.18500000000000005,1.81,1.0,3361.6958281734383,336.16958281734384,3273.342277571016,1
2.1000000000000005,1.9500000000000006,0.19500000000000006,2.005,1.0,3544.009576270314,354.4009576270314,3627.7432351980474,1
2.2000000000000006,2.0500000000000007,0.20500000000000007,2.21,1.0,3726.4181338546896,372.641813385469,4000.3850485835164,1
2.3000000000000007,2.150000000000001,0.21500000000000008,2.425,1.0,3908.9263629515644,390.8926362951565,4391.2776848786725,1
2.400000000000001,2.250000000000001,0.2250000000000001,2.65,1.0,4091.5391255859395,409.15391255859396,4800.431597437267,1
2.500000000000001,2.350000000000001,0.2350000000000001,2.885,1.0,4274.261283782815,427.4261283782815,5227.857725815548,1
2.600000000000001,2.450000000000001,0.2450000000000001,3.13,1.0,4457.09769956719,445.709769956719,5673.567495772268,1
